Client ID,Client Name,Email Address,Invoice #,Invoice Date,Invoice Amount,Total Outstanding,Current (0-30),31-60 Days,61-90 Days,91-120 Days,120+ Days
CLIENT001,Acme Corporation,ap@acme.com,INV-2024-001,2024-05-15,5000.00,5000.00,0.00,0.00,5000.00,0.00,0.00
CLIENT001,Acme Corporation,ap@acme.com,INV-2024-002,2024-06-01,2500.00,2500.00,0.00,2500.00,0.00,0.00,0.00
CLIENT002,TechStart LLC,billing@techstart.com,INV-2024-003,2024-04-20,7500.00,7500.00,0.00,0.00,0.00,7500.00,0.00
CLIENT003,Global Industries,accounts@global.com,INV-2024-004,2024-07-10,1200.00,1200.00,1200.00,0.00,0.00,0.00,0.00
CLIENT004,BuildCorp,finance@buildcorp.com,INV-2024-005,2024-03-15,15000.00,15000.00,0.00,0.00,0.00,0.00,15000.00
CLIENT004,BuildCorp,finance@buildcorp.com,INV-2024-006,2024-05-20,8000.00,8000.00,0.00,0.00,8000.00,0.00,0.00
CLIENT005,QuickServ Solutions,payments@quickserv.com,INV-2024-007,2024-06-15,3500.00,3500.00,0.00,3500.00,0.00,0.00,0.00
CLIENT006,MegaRetail Chain,ap@megaretail.com,INV-2024-008,2024-04-05,25000.00,25000.00,0.00,0.00,0.00,25000.00,0.00
CLIENT007,StartupX,admin@startupx.io,INV-2024-009,2024-07-01,950.00,950.00,950.00,0.00,0.00,0.00,0.00
CLIENT008,Enterprise Solutions,,INV-2024-010,2024-05-30,4200.00,4200.00,0.00,0.00,4200.00,0.00,0.00
CLIENT009,Local Business Co,owner@localbiz.com,INV-2024-011,2024-06-20,1800.00,1800.00,0.00,1800.00,0.00,0.00,0.00
CLIENT010,Manufacturing Inc,accounting@mfginc.com,INV-2024-012,2024-02-28,12000.00,12000.00,0.00,0.00,0.00,0.00,12000.00
CLIENT011,Service Provider,billing@servicepro.com,INV-2024-013,2024-07-15,2250.00,2250.00,2250.00,0.00,0.00,0.00,0.00
CLIENT012,Tech Consulting,invoices@techconsult.com,INV-2024-014,2024-04-10,6800.00,6800.00,0.00,0.00,0.00,6800.00,0.00
CLIENT013,Regional Supplier,payments@regional.com,INV-2024-015,2024-05-25,3300.00,3300.00,0.00,0.00,3300.00,0.00,0.00
